1,Union Personal,0810-444-1122 ,unionpersonal@contacto.com
2,OSDEPYM,0800 288 7963 ,mesadeentrada@osdepym.com.ar 
3,Jerarquicos Salud,0810-555-4050,jerarquicos@salud.com.ar
4,Andar,(011) 5237-1900 ,informes@andar.com
5,Cover salud,(011) 4833-8300 ,cover@salud.com
6,D.A.S.U.Te.N,+54 11 5371 5754 ,infodas@rec.utn.edu.ar 
7,DOSUBA,0810-989-2752,dosuba@gmail.com
8,Elevar,4861-0124 ,administracion@pasteleros.org.ar 
9,FEMEBA,(011) 4383-4467 ,consultas@femeba.com
10,IOMA,0810-999-4662,ioma@info.com
11,Osecac,0810-333-0004 ,info@osecac.com
12,OSFE,0800-333-OSFE (6733) ,contactese@osferroviaria.org.ar 
13,Osjera,0810 333 0251 ,contacto@osjera.com
14,Osmedica,0800-999-5396 ,contacto@osmedica.com
15,OSPACA,(011) 4106.4500 ,informes@ospaca.com 
16,OSPE,0800 444 OSPE (6773) ,contacto@ospe.com.ar
17,OSPIC,0800-888-7060 ,contacto@ospic.com
18,Swiss Medical,0810-444-7700 ,ventaonline@swissmedical.com.ar 
19,OSDE,0800-222-SALUD (72583) ,contacto@osde.com.ar 
20,OSPRERA,1143122500,consultas@osprera.org.ar 
